,Rock,Indie,Pop,Romantic,Folk,Grunge,Jazz,Classic,New Wave,Rap,Hip Hop,Metal,Heavy Metal,Country,Hardcore,Rockabilly,Blues,R&B,Soul,Dance,Gospel,Funk,Emocore,Punk,Psychedelic music,Classic Rock,House,Electronica,Progressive Music,Trip-Hop,Disco,Soundtack,Reggae,Surf Music,Children's music,Industrial,Trance,Ska,Instrumental,Chillout,Tropical House,Post-Rock,Lo-fi,Black Music,Reggaeton,World Music
navy,13.0,7.0,8.0,,1.0,,,,,15.0,14.0,,,1.0,1.0,,1.0,4.0,,37.0,1.0,,,,1.0,2.0,,,,,36.0,2.0,,,,,,,,,,,,,,
dorm,4.0,1.0,3.0,2.0,1.0,,,,,6.0,11.0,,,,1.0,,,,,2.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
enlisted,2.0,,1.0,,2.0,,,,,2.0,2.0,,2.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
mater,23.0,,2.0,,,,2.0,,,4.0,5.0,,11.0,,,1.0,,3.0,1.0,,2.0,1.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,
grades,7.0,1.0,9.0,1.0,,,,,,5.0,5.0,,,1.0,,,,4.0,1.0,,1.0,,,,,,,6.0,,,,,1.0,,,,,,,,,,,,,
dean,75.0,6.0,32.0,27.0,,,,,,6.0,6.0,,1.0,3.0,,1.0,1.0,12.0,9.0,5.0,1.0,,3.0,,,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
phi,7.0,,1.0,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
beta,3.0,,1.0,,,,,,,14.0,4.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
kappa,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
underdog,23.0,6.0,11.0,2.0,1.0,,1.0,,,6.0,5.0,,1.0,,,,,1.0,,4.0,1.0,1.0,,,,,,4.0,,,,,,,,,,1.0,,,,,,,,
thus,43.0,3.0,7.0,8.0,6.0,,3.0,2.0,1.0,8.0,3.0,,25.0,6.0,3.0,2.0,1.0,7.0,9.0,1.0,4.0,3.0,1.0,,1.0,,,1.0,1.0,,2.0,,1.0,1.0,,,,,1.0,,,,,,,
raven,42.0,6.0,33.0,6.0,9.0,,,,2.0,4.0,3.0,,20.0,9.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,,,1.0,,,,,,,1.0,,,,,,,
condemned,44.0,3.0,11.0,1.0,1.0,2.0,,,7.0,,,1.0,38.0,,11.0,,,,4.0,,4.0,,1.0,,,,1.0,1.0,1.0,,,2.0,1.0,,,1.0,,,,,,,,,,
distraught,8.0,,2.0,,2.0,1.0,,,1.0,,,,7.0,,3.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
unclear,25.0,5.0,6.0,2.0,4.0,2.0,1.0,,,1.0,1.0,,5.0,,4.0,,1.0,3.0,1.0,2.0,2.0,,,,,,,1.0,1.0,2.0,1.0,,,1.0,,,1.0,1.0,,2.0,,,,,,
harsh,22.0,2.0,11.0,1.0,2.0,,,,1.0,8.0,7.0,,2.0,,4.0,,,4.0,1.0,1.0,,1.0,,1.0,,,,2.0,2.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,
endear,2.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
envelope,7.0,3.0,2.0,1.0,1.0,,,,,13.0,14.0,,5.0,1.0,2.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
234,3.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
squirrel,5.0,6.0,1.0,2.0,6.0,,,,,8.0,2.0,,,1.0,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,
rim,10.0,2.0,6.0,2.0,2.0,,2.0,1.0,1.0,30.0,24.0,1.0,3.0,2.0,,,1.0,5.0,,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,
tut,9.0,,1.0,,,,,1.0,,3.0,3.0,,,,,,,2.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
retarded,4.0,,4.0,,,,,1.0,1.0,46.0,58.0,,2.0,,1.0,,,11.0,,1.0,1.0,,,,,,,17.0,,,,,,,,,,,,,,,,,,
jerk,73.0,7.0,16.0,5.0,5.0,1.0,1.0,,,38.0,42.0,,11.0,5.0,18.0,2.0,6.0,16.0,1.0,5.0,,13.0,7.0,2.0,6.0,3.0,,2.0,4.0,1.0,,3.0,1.0,1.0,1.0,,,3.0,,1.0,,,,,,
rooster,32.0,5.0,3.0,2.0,4.0,,,,,5.0,6.0,,,,,,7.0,3.0,,1.0,,,,,,4.0,,,,,,7.0,,,2.0,,,,,,,,,1.0,,
irregular,16.0,1.0,2.0,,,,,,1.0,6.0,3.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
sculpture,15.0,1.0,,,,,,,,3.0,3.0,,2.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
wright,8.0,,2.0,,1.0,,,,,5.0,7.0,,,1.0,,,,2.0,2.0,,1.0,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,
misty,51.0,6.0,15.0,13.0,7.0,,5.0,9.0,1.0,,,1.0,28.0,11.0,,7.0,,6.0,4.0,4.0,,,,,1.0,,,4.0,6.0,1.0,6.0,4.0,6.0,,3.0,,,,6.0,,,,,,,
transistor,8.0,2.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
waterfall,37.0,8.0,32.0,9.0,1.0,,1.0,,,3.0,4.0,,10.0,3.0,,,,4.0,,9.0,1.0,,,,,1.0,4.0,6.0,1.0,,,4.0,2.0,,,1.0,2.0,,,1.0,2.0,,,,,
stadium,23.0,1.0,13.0,2.0,1.0,,,,,11.0,14.0,,1.0,,,,,4.0,2.0,1.0,,,,,1.0,,,1.0,2.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,
smoked,40.0,11.0,13.0,10.0,7.0,,,3.0,,84.0,70.0,,1.0,4.0,3.0,1.0,1.0,5.0,2.0,6.0,,1.0,2.0,,1.0,,,3.0,,,,,1.0,1.0,,,,,1.0,3.0,,,,,,
cigarette,163.0,41.0,72.0,24.0,22.0,7.0,5.0,3.0,6.0,31.0,31.0,,10.0,15.0,7.0,2.0,8.0,5.0,16.0,13.0,1.0,1.0,5.0,1.0,9.0,3.0,2.0,13.0,6.0,11.0,6.0,,,,,,,2.0,1.0,1.0,,,,,,
yen,6.0,,5.0,,2.0,,,,,5.0,5.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
believed,352.0,42.0,159.0,59.0,32.0,4.0,8.0,3.0,2.0,18.0,37.0,,71.0,26.0,33.0,4.0,8.0,44.0,22.0,15.0,21.0,3.0,6.0,,2.0,,,8.0,22.0,,3.0,25.0,8.0,2.0,1.0,11.0,,5.0,1.0,,,,,,,
kelly,20.0,2.0,49.0,10.0,3.0,,4.0,3.0,,98.0,361.0,,,,1.0,1.0,,300.0,1.0,18.0,,,,,,,,5.0,2.0,,,,,,,,,,,1.0,,,,,,
outlaw,125.0,7.0,19.0,1.0,3.0,1.0,,,,19.0,14.0,,14.0,18.0,3.0,,1.0,5.0,,10.0,1.0,,,,,,,3.0,,,1.0,1.0,1.0,,,,,,,,,,,,,
kidnap,22.0,1.0,14.0,,1.0,,,,,21.0,12.0,,,,4.0,,,5.0,,,,,,,,,,2.0,,,,2.0,,,,,,,,1.0,,,,,,
fats,7.0,,2.0,2.0,1.0,,1.0,,,1.0,1.0,,3.0,,,,1.0,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
reputations,8.0,1.0,3.0,2.0,,,,,,2.0,2.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
carnation,9.0,,,2.0,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bang,504.0,147.0,692.0,30.0,8.0,8.0,3.0,2.0,17.0,512.0,644.0,,132.0,3.0,47.0,4.0,7.0,297.0,6.0,172.0,4.0,4.0,18.0,,21.0,2.0,90.0,121.0,6.0,4.0,42.0,37.0,23.0,4.0,2.0,21.0,,6.0,3.0,13.0,,,,,1.0,
cue,42.0,12.0,19.0,6.0,3.0,1.0,,,5.0,10.0,9.0,,2.0,,2.0,,1.0,3.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
aw,78.0,16.0,117.0,17.0,8.0,9.0,2.0,,,86.0,143.0,,10.0,15.0,2.0,2.0,6.0,33.0,28.0,61.0,,10.0,,,2.0,2.0,7.0,20.0,,,2.0,2.0,,1.0,,,,,,7.0,,,,,,
tart,6.0,4.0,3.0,1.0,,,1.0,,2.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reclaimed,14.0,2.0,3.0,,1.0,,,,,,,,4.0,,2.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
bodegas,2.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
buck,57.0,5.0,24.0,3.0,7.0,1.0,,,,334.0,203.0,,9.0,8.0,26.0,2.0,10.0,19.0,,3.0,,5.0,,,,2.0,,2.0,1.0,,1.0,,7.0,1.0,,,,,,1.0,,,,,,
saddled,4.0,2.0,2.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
baptized,21.0,5.0,2.0,1.0,2.0,,,,,5.0,5.0,,7.0,7.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
theremin,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fondly,5.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
panhandler,2.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bedazzled,10.0,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tug,14.0,3.0,4.0,1.0,2.0,3.0,,,1.0,2.0,4.0,,1.0,,1.0,,,1.0,,2.0,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,
magazines,88.0,15.0,46.0,11.0,3.0,5.0,1.0,,1.0,26.0,24.0,,5.0,7.0,6.0,,4.0,8.0,1.0,3.0,2.0,,,2.0,,1.0,1.0,3.0,4.0,,,2.0,3.0,1.0,,,,2.0,,,,,,,,
ethnic,12.0,1.0,1.0,,,1.0,,,1.0,2.0,,,2.0,,2.0,,,4.0,,,,,,,,,,,1.0,,4.0,,,,,,,1.0,,,,,,,,
